"component","origin","license","copyright"
"github.com/jedib0t/go-pretty/v6","github.com/jedib0t/go-pretty/v6","['MIT']","['jedib0t']"
"github.com/aws/aws-sdk-go-v2/service/ssooidc","github.com/aws/aws-sdk-go-v2/service/ssooidc","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/feature/s3/manager","github.com/aws/aws-sdk-go-v2/feature/s3/manager","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/aws/aws-sdk-go-v2/service/ec2instanceconnect","github.com/aws/aws-sdk-go-v2/service/ec2instanceconnect","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"google.golang.org/api","google.golang.org/api","[]","[]"
"github.com/aws/aws-sdk-go-v2/service/route53resolver","github.com/aws/aws-sdk-go-v2/service/route53resolver","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"go.opentelemetry.io/otel","go.opentelemetry.io/otel","[]","[]"
"go.opentelemetry.io/otel/metric","go.opentelemetry.io/otel/metric","[]","[]"
"go.opentelemetry.io/otel/trace","go.opentelemetry.io/otel/trace","[]","[]"
"github.com/stretchr/testify","github.com/stretchr/testify","['MIT']","['Mat Ryer, Tyler Bunnell and contributors']"
"github.com/stretchr/objx","github.com/stretchr/objx","['MIT']","['Stretchr, Inc.', 'objx contributors']"
"github.com/golang-jwt/jwt/v5","github.com/golang-jwt/jwt/v5","['MIT']","['golang-jwt', 'Dave Grijalva']"
"github.com/aws/aws-sdk-go-v2/service/ses","github.com/aws/aws-sdk-go-v2/service/ses","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
"github.com/std-uritemplate/std-uritemplate/go","github.com/std-uritemplate/std-uritemplate/go","['Apache-2.0']","['std-uritemplate']"
"github.com/aws/aws-sdk-go-v2/service/eks","github.com/aws/aws-sdk-go-v2/service/eks","['Apache-2.0']","['Stripe, Inc.', 'Amazon.com, Inc. or its affiliates']"
